epoch,train_loss,composite_acc,symmetric_acc,lr
10,3.403710,0.168889,0.038333,0.00022600
20,2.580810,0.276111,0.015000,0.00024867
30,2.128071,0.271667,0.011111,0.00024413
40,1.817523,0.526111,0.000556,0.00023647
50,1.607596,0.591667,0.008889,0.00022590
60,1.410123,0.672222,0.010556,0.00021272
70,1.255229,0.718889,0.018889,0.00019729
80,1.130039,0.767778,0.017222,0.00018001
90,1.018463,0.795556,0.015000,0.00016138
100,0.937888,0.782222,0.018333,0.00014189
110,0.855930,0.833333,0.018889,0.00012207
120,0.797775,0.837222,0.020556,0.00010247
130,0.742773,0.837222,0.023333,0.00008362
140,0.696431,0.845000,0.015556,0.00006604
150,0.649093,0.835556,0.010556,0.00005020
160,0.603462,0.820000,0.007778,0.00003653
170,0.572040,0.840000,0.005000,0.00002542
180,0.547682,0.843333,0.003889,0.00001716
190,0.526364,0.860000,0.002222,0.00001198
200,0.505458,0.855556,0.001667,0.00001002
