epoch,train_loss,composite_acc,symmetric_acc,lr
10,5.083315,0.008889,0.012778,0.00022600
20,4.533926,0.012222,0.005556,0.00024867
30,4.510512,0.013333,0.004444,0.00024413
40,4.504984,0.014444,0.008333,0.00023647
50,4.463014,0.012778,0.016667,0.00022590
60,3.093309,0.022222,0.051667,0.00021272
70,1.212589,0.053889,0.035556,0.00019729
80,0.424749,0.030000,0.035000,0.00018001
90,0.152392,0.023889,0.016667,0.00016138
100,0.062207,0.021111,0.016667,0.00014189
110,0.032739,0.023889,0.015556,0.00012207
120,0.020779,0.021667,0.018889,0.00010247
130,0.014939,0.021667,0.020000,0.00008362
140,0.011519,0.021111,0.026667,0.00006604
150,0.009354,0.020556,0.022778,0.00005020
160,0.008004,0.015556,0.016667,0.00003653
170,0.007039,0.013889,0.016111,0.00002542
