epoch,train_loss,composite_acc,symmetric_acc,lr
10,4.510260,0.005556,0.019444,0.00022600
20,2.756395,0.136111,0.082222,0.00024867
30,1.968150,0.580000,0.008333,0.00024413
40,1.224551,0.597778,0.008889,0.00023647
50,0.820290,0.595556,0.017778,0.00022590
60,0.538900,0.670556,0.015000,0.00021272
70,0.361673,0.591667,0.000000,0.00019729
80,0.255754,0.577222,0.000000,0.00018001
90,0.149445,0.720000,0.000000,0.00016138
100,0.051715,0.907778,0.011667,0.00014189
110,0.025209,0.964444,0.000000,0.00012207
120,0.016761,0.972222,0.000000,0.00010247
130,0.012906,0.972222,0.000000,0.00008362
140,0.010744,0.973333,0.000000,0.00006604
150,0.009203,0.976111,0.007778,0.00005020
160,0.008272,0.982222,0.008333,0.00003653
170,0.007666,0.983333,0.008333,0.00002542
180,0.007232,0.985000,0.007222,0.00001716
190,0.007010,0.985556,0.008333,0.00001198
200,0.006803,0.985556,0.010000,0.00001002
