epoch,train_loss,composite_acc,symmetric_acc,lr
10,3.489632,0.077222,0.011667,0.00022600
20,2.510029,0.313333,0.017778,0.00024867
30,1.976382,0.523333,0.029444,0.00024413
40,1.681617,0.565000,0.015556,0.00023647
50,1.448301,0.726667,0.013333,0.00022590
60,1.244487,0.741667,0.000000,0.00021272
70,1.074206,0.740000,0.000000,0.00019729
80,0.932941,0.798333,0.000000,0.00018001
90,0.810075,0.775000,0.000000,0.00016138
100,0.711877,0.805556,0.000000,0.00014189
110,0.615801,0.706667,0.000556,0.00012207
120,0.532137,0.893333,0.000000,0.00010247
130,0.476485,0.906667,0.000000,0.00008362
140,0.421369,0.810000,0.000000,0.00006604
150,0.361429,0.762778,0.000000,0.00005020
160,0.328454,0.715556,0.000000,0.00003653
170,0.305556,0.677778,0.000000,0.00002542
180,0.289688,0.703889,0.000000,0.00001716
190,0.278610,0.712222,0.000000,0.00001198
200,0.270211,0.694444,0.000000,0.00001002
