epoch,train_loss,composite_acc,symmetric_acc,lr
10,4.478647,0.012778,0.012778,0.00022600
20,1.051881,0.161111,0.040556,0.00024867
30,0.266994,0.211111,0.011111,0.00024413
40,0.086560,0.261111,0.016667,0.00023647
50,0.028148,0.365000,0.018333,0.00022590
60,0.011842,0.482778,0.018333,0.00021272
70,0.006729,0.425556,0.026111,0.00019729
80,0.003808,0.523333,0.023333,0.00018001
90,0.002677,0.496111,0.031667,0.00016138
100,0.001750,0.461111,0.025556,0.00014189
110,0.001041,0.433889,0.033333,0.00012207
120,0.000753,0.418889,0.025556,0.00010247
130,0.000511,0.418333,0.029444,0.00008362
140,0.000378,0.400000,0.032222,0.00006604
150,0.000273,0.341667,0.033333,0.00005020
160,0.000258,0.327778,0.033333,0.00003653
170,0.000197,0.334444,0.034444,0.00002542
180,0.000173,0.302222,0.032778,0.00001716
190,0.000158,0.316667,0.032222,0.00001198
200,0.000146,0.293889,0.034444,0.00001002
