epoch,train_loss,composite_acc,symmetric_acc,lr
10,7.233149,0.011111,0.003889,0.00022600
20,4.561206,0.013333,0.015556,0.00024867
30,4.513538,0.012778,0.006667,0.00024413
40,4.510387,0.011111,0.003889,0.00023647
50,4.508130,0.015556,0.006111,0.00022590
60,4.505013,0.010556,0.007778,0.00021272
70,4.501314,0.010556,0.010000,0.00019729
80,4.497886,0.007778,0.008889,0.00018001
90,4.493875,0.005000,0.012222,0.00016138
100,4.490447,0.006111,0.010000,0.00014189
110,4.486488,0.010000,0.011667,0.00012207
120,4.483355,0.010556,0.012778,0.00010247
130,4.480424,0.008889,0.011111,0.00008362
140,4.477409,0.010000,0.012222,0.00006604
150,4.474950,0.010000,0.011667,0.00005020
160,4.473054,0.011111,0.011111,0.00003653
170,4.471298,0.011667,0.011667,0.00002542
180,4.469953,0.011667,0.011667,0.00001716
190,4.469155,0.012778,0.011111,0.00001198
200,4.468540,0.013333,0.011667,0.00001002
