epoch,train_loss,composite_acc,symmetric_acc,lr
10,3.023095,0.188889,0.047778,0.00022600
20,2.093886,0.260000,0.031667,0.00024867
30,1.677024,0.363889,0.022778,0.00024413
40,1.396258,0.177222,0.025556,0.00023647
50,1.178178,0.373889,0.020556,0.00022590
60,1.005528,0.448889,0.007222,0.00021272
70,0.859430,0.253889,0.005000,0.00019729
80,0.742385,0.377222,0.005000,0.00018001
90,0.649650,0.356111,0.005000,0.00016138
100,0.563591,0.587222,0.006111,0.00014189
110,0.495273,0.523889,0.004444,0.00012207
120,0.437645,0.647778,0.003889,0.00010247
130,0.389073,0.625000,0.001667,0.00008362
140,0.349310,0.671111,0.001667,0.00006604
150,0.319056,0.690556,0.001667,0.00005020
160,0.296037,0.675556,0.001111,0.00003653
170,0.279488,0.741667,0.001111,0.00002542
180,0.267699,0.729444,0.001111,0.00001716
190,0.259563,0.739444,0.000000,0.00001198
200,0.253823,0.755000,0.000556,0.00001002
